,ih_ind
0,0.05454545454545454
1,0.07272727272727272
2,0.9090909090909091
3,0.01818181818181818
4,0.2727272727272727
5,0.05454545454545454
6,0.07272727272727272
7,0.01818181818181818
8,0.10909090909090909
9,0.21818181818181817
10,0.8181818181818182
11,0.32727272727272727
12,0.01818181818181818
13,0.07272727272727272
14,0.6545454545454545
15,0.03636363636363636
16,0.2727272727272727
17,0.03636363636363636
18,0.05454545454545454
19,0.03636363636363636
20,0.38181818181818183
21,0.8181818181818182
22,0.41818181818181815
23,0.0
24,0.09090909090909091
25,0.34545454545454546
26,0.07272727272727272
27,0.01818181818181818
28,0.34545454545454546
29,0.07272727272727272
30,0.01818181818181818
31,0.01818181818181818
32,0.8727272727272727
33,0.01818181818181818
34,0.12727272727272726
35,0.38181818181818183
36,0.14545454545454545
37,0.12727272727272726
38,0.05454545454545454
39,0.2
40,0.4
41,0.01818181818181818
42,0.18181818181818182
43,0.2909090909090909
44,0.9272727272727272
45,0.07272727272727272
46,0.05454545454545454
47,0.9636363636363636
48,0.9636363636363636
49,0.2
50,0.6363636363636364
51,0.8181818181818182
52,0.509090909090909
53,0.09090909090909091
54,0.9090909090909091
55,0.9272727272727272
56,0.7818181818181819
57,0.2727272727272727
58,0.05454545454545454
59,0.10909090909090909
60,0.01818181818181818
61,0.34545454545454546
62,0.7818181818181819
63,0.2545454545454545
64,0.03636363636363636
65,0.16363636363636364
66,0.12727272727272726
67,0.10909090909090909
68,0.34545454545454546
69,0.9454545454545454
70,0.32727272727272727
71,0.18181818181818182
72,0.01818181818181818
73,0.3090909090909091
74,0.5272727272727272
75,0.8181818181818182
76,0.12727272727272726
77,0.09090909090909091
78,0.9636363636363636
79,0.03636363636363636
80,0.07272727272727272
81,0.03636363636363636
82,0.7454545454545455
83,0.38181818181818183
84,0.14545454545454545
85,0.03636363636363636
86,0.21818181818181817
87,0.3090909090909091
88,0.14545454545454545
89,1.0
90,0.03636363636363636
91,0.4909090909090909
92,0.07272727272727272
93,0.41818181818181815
94,0.10909090909090909
95,0.05454545454545454
96,0.32727272727272727
97,0.03636363636363636
98,0.12727272727272726
99,0.2727272727272727
100,0.9454545454545454
101,0.07272727272727272
102,0.3090909090909091
103,0.07272727272727272
104,0.9090909090909091
105,0.4727272727272727
106,0.2
107,0.3090909090909091
108,0.03636363636363636
109,0.05454545454545454
110,0.2727272727272727
111,0.16363636363636364
112,0.0
113,0.2727272727272727
114,0.0
115,0.2545454545454545
116,0.03636363636363636
117,0.41818181818181815
118,0.16363636363636364
119,0.34545454545454546
120,0.2
121,0.14545454545454545
122,0.21818181818181817
123,0.5636363636363636
124,0.5636363636363636
125,0.12727272727272726
126,0.7636363636363637
127,0.05454545454545454
128,0.9818181818181818
129,0.4909090909090909
130,0.21818181818181817
131,0.10909090909090909
132,0.2727272727272727
133,0.7818181818181819
134,0.10909090909090909
135,0.5272727272727272
136,0.01818181818181818
137,0.18181818181818182
138,0.6
139,0.03636363636363636
140,0.12727272727272726
141,0.01818181818181818
142,0.6727272727272727
143,0.4
144,0.8181818181818182
145,0.2
146,0.2545454545454545
147,0.0
148,0.2
149,0.0
150,0.9636363636363636
151,0.01818181818181818
152,0.01818181818181818
153,0.07272727272727272
154,0.09090909090909091
155,0.09090909090909091
156,0.05454545454545454
157,0.2909090909090909
158,0.01818181818181818
159,0.8909090909090909
160,0.0
161,0.38181818181818183
162,0.09090909090909091
163,0.509090909090909
164,0.10909090909090909
165,0.8727272727272727
166,0.05454545454545454
167,0.10909090909090909
168,0.6727272727272727
169,1.0
170,0.2909090909090909
171,0.01818181818181818
172,0.03636363636363636
173,0.4
174,0.03636363636363636
175,0.03636363636363636
176,0.34545454545454546
177,0.9272727272727272
178,0.38181818181818183
179,0.9454545454545454
180,0.23636363636363636
181,0.10909090909090909
182,0.09090909090909091
183,0.23636363636363636
184,0.16363636363636364
185,0.0
186,0.03636363636363636
187,0.21818181818181817
188,0.01818181818181818
189,0.05454545454545454
190,0.0
191,0.8363636363636363
192,0.2
193,0.01818181818181818
194,0.01818181818181818
195,0.0
196,0.03636363636363636
197,0.43636363636363634
198,0.6545454545454545
199,0.01818181818181818
200,0.05454545454545454
201,0.01818181818181818
202,0.03636363636363636
203,0.8181818181818182
204,0.5636363636363636
205,0.03636363636363636
206,0.21818181818181817
207,0.05454545454545454
208,0.2545454545454545
209,0.7818181818181819
210,0.09090909090909091
211,0.6363636363636364
212,0.05454545454545454
213,0.14545454545454545
214,0.9272727272727272
