,ih_class
0,0.2894612302954863
1,0.13115952583156673
2,0.7643856529561328
3,0.15069348269095847
4,0.4702014630696714
5,0.23983090705285975
6,0.28800930576702444
7,0.26113598571192315
8,0.2687046837993463
9,0.451864310888963
10,0.5996926163105567
11,0.43833510994873637
12,0.2652175931670786
13,0.2222564282610441
14,0.6110110191507234
15,0.2427737497681485
16,0.36026470350702955
17,0.2290278650090629
18,0.20071484841215462
19,0.224611193512307
20,0.48103390031874466
21,0.5896489772814174
22,0.47297132926071184
23,0.21890977681171422
24,0.2385544927856159
25,0.41635693285268294
26,0.19814829057532293
27,0.22494756646884526
28,0.49487390206600385
29,0.21639423350034848
30,0.2004754169728828
31,0.2274234994254242
32,0.6645989261042589
33,0.21810572850881002
34,0.296297242767451
35,0.4038784609988109
36,0.35766185785916405
37,0.3249610056883361
38,0.23334855872682153
39,0.4223687509665125
40,0.4334059376054422
41,0.12134927672806425
42,0.3817961049319466
43,0.4018452283075344
44,0.7898032392895431
45,0.2922993488331366
46,0.23545396188241563
47,0.7431733291237445
48,0.7388951297772655
49,0.3493199113414187
50,0.5022202938750465
51,0.6123511008875595
52,0.5437121567078586
53,0.276809884832951
54,0.7400042563538679
55,0.7191669282381787
56,0.5603190448551539
57,0.3579113476624514
58,0.22679616628744845
59,0.33486202545049676
60,0.19475990189749015
61,0.4079234074535304
62,0.6178913519673145
63,0.32503212233467205
64,0.15268089423000214
65,0.33039642089493815
66,0.30971985948989567
67,0.28650568573719565
68,0.4238484132806558
69,0.7587304231185782
70,0.45897590254456483
71,0.3414275532372293
72,0.16353578559616724
73,0.37254834448966373
74,0.4983680411935276
75,0.6381779666923434
76,0.32431312818947494
77,0.2963928716559548
78,0.7370180090072818
79,0.2473254670647281
80,0.2641201541383387
81,0.2801751313920061
82,0.6482741560996175
83,0.4784347774339577
84,0.2879793051090557
85,0.19467576681398852
86,0.39404803877946293
87,0.4152599196595315
88,0.3612470129391137
89,0.7696179792953768
90,0.21868615746205794
91,0.4863568946415372
92,0.2702267642326886
93,0.4841056378243391
94,0.29987815337224166
95,0.2551982261112728
96,0.49436767453195907
97,0.21795289961201408
98,0.3106175984876589
99,0.4220207870094967
100,0.7382268221593116
101,0.2807643132192452
102,0.4811555194094307
103,0.21978141211130658
104,0.7268717272912826
105,0.5264934012881176
106,0.3569409759477761
107,0.4366218365086847
108,0.14985898799825573
109,0.17704248772570982
110,0.44449728067655225
111,0.3344867632267249
112,0.22478507696153574
113,0.4571414569902286
114,0.2063109879493162
115,0.4069017384892567
116,0.22682902652174852
117,0.42651141678306603
118,0.3142079027073167
119,0.4490669186205328
120,0.38651992563525767
121,0.28731016254259656
122,0.33212611898042516
123,0.4828978989080135
124,0.4744551443995834
125,0.3042586344411003
126,0.5970589467158942
127,0.23335474925123156
128,0.8280949177382528
129,0.48755034604714015
130,0.32329653862203583
131,0.3244484343179521
132,0.38307826949228035
133,0.6037311464826806
134,0.32507320513051974
135,0.49843087901341177
136,0.1964538450596408
137,0.32376185692599474
138,0.5086267526777696
139,0.22267482112661852
140,0.34166029891278304
141,0.22225973367844826
142,0.5701068070846498
143,0.4432205004959808
144,0.636908528935573
145,0.4114183962980808
146,0.3817815351897045
147,0.22095858172223837
148,0.37557675135937557
149,0.2256574156101844
150,0.8362584557817913
151,0.2216741685876951
152,0.21441369853914224
153,0.24812417515259427
154,0.2853795902531337
155,0.2205862335474973
156,0.2253268714101146
157,0.4491381310909195
158,0.22752075311219938
159,0.6226588900628777
160,0.19695314314049606
161,0.42641384942270105
162,0.2898192252283839
163,0.4522012011605441
164,0.31800420264400314
165,0.7162752342561128
166,0.25328917066716095
167,0.35150580297470024
168,0.5729184304960072
169,0.7675134131404444
170,0.4378769973618447
171,0.20962815886180314
172,0.20294426039190408
173,0.43649729778919166
174,0.2932020221332996
175,0.24355435248143234
176,0.47215829988280184
177,0.6893020525883503
178,0.4818448409276987
179,0.7255224344196588
180,0.37389093359066394
181,0.359128793407773
182,0.28772695298668927
183,0.44282043919869096
184,0.3048052468502212
185,0.19584717635653645
186,0.2161598556775082
187,0.3834447037546997
188,0.13506998646848284
189,0.23678530133266504
190,0.2206025423461325
191,0.6954874168272247
192,0.3997378164444803
193,0.20325389631955484
194,0.2319173839883049
195,0.23187572613364205
196,0.24671629979756796
197,0.44578119978200786
198,0.5640241308603693
199,0.23045344975436946
200,0.22079302636640635
201,0.20715773665564238
202,0.22119508290839793
203,0.6643500271088056
204,0.4649140338241215
205,0.21796210088998916
206,0.4261831750122527
207,0.1819828317213913
208,0.39825848787462226
209,0.5996833510527694
210,0.25086148390346424
211,0.563720663971375
212,0.22262166049990165
213,0.3128867481322151
214,0.7107005819780652
215,0.5730564689762478
216,0.1952122529938391
217,0.2339418851941457
218,0.5783716699571957
219,0.4915707726580997
220,0.4999285624742654
221,0.5702011103839784
222,0.17924695021725218
223,0.34402941589854613
224,0.23225467826900537
225,0.25754069696942244
226,0.5762913465953324
227,0.3792634275490796
228,0.4234379417035016
229,0.23801007425355394
230,0.23997172106891546
231,0.35626682762692075
232,0.333974534329333
233,0.31576893833951747
234,0.6984158622219017
235,0.18994543257972693
236,0.28943426417326074
237,0.5171192119044856
238,0.6868002283017344
239,0.39509288713387336
240,0.17379542012928545
241,0.2624410991020479
242,0.2295630348399548
243,0.7634096614741368
244,0.20082466994305898
245,0.6999490107920198
246,0.40211352966034736
247,0.1532838393129682
248,0.5833913311652547
249,0.23694005866449958
250,0.4130089587567259
251,0.3242432537508925
252,0.4231827513059568
253,0.2933126738562074
254,0.20801214164168155
255,0.10820353481129018
256,0.4123905851857947
257,0.1941996004561215
258,0.6502197575586641
259,0.219268992233736
260,0.5337279462637046
261,0.14623347235380227
262,0.4234439653787683
263,0.37842160129439245
264,0.7650771701847308
265,0.28214896157400526
266,0.2905530227613875
267,0.3074944402048332
268,0.21038609000425726
269,0.4988337159119064
270,0.23892205522730353
271,0.5169985612757125
272,0.7544348527966436
273,0.7885444251396901
274,0.4187835159587187
275,0.44317152854841757
276,0.22263957844523
277,0.21285934609878154
278,0.468365755519821
279,0.3767134252770454
280,0.6434548308557747
281,0.6502816463448304
282,0.266962394930463
283,0.4177258134396558
284,0.23682324913881814
285,0.6480957684178077
286,0.2393973010119691
287,0.2477182099954326
288,0.43547706874256925
289,0.23217928763920323
290,0.22460827573371034
291,0.4619704277194396
292,0.2986893733021975
293,0.11148801204390169
294,0.21460593287340207
295,0.16282581515335465
296,0.30452042602210133
297,0.49475906495291205
298,0.6107585775253931
299,0.7301157388673516
300,0.44189841595461365
301,0.3802731207270128
302,0.2450072268693851
303,0.24351815503979415
304,0.4115687084872465
305,0.32971749059543504
306,0.2053585543401856
307,0.2727409867742251
308,0.5310233562822098
309,0.5709878732434561
310,0.1679272888127424
311,0.22209587225302543
312,0.22026165378878457
313,0.5030022037509795
314,0.4809825291974594
315,0.2281964105226232
316,0.2826047465889724
317,0.22163696862039914
318,0.22004731057264887
319,0.5000783310762904
320,0.27075298835697864
321,0.12590852009099573
322,0.22533403165665566
323,0.20373701665149527
324,0.32727466473030714
325,0.3964009409672237
326,0.44770006826789854
327,0.18998641404758723
328,0.43631229833840446
329,0.36262051328624895
330,0.3429334234446391
331,0.3807833873022434
332,0.519838805387924
333,0.7372341260503976
334,0.29914274633015686
335,0.42105618887741586
336,0.5014750912983252
337,0.3938899766672275
338,0.41628633388883696
339,0.2739291538083143
340,0.2899369539266566
341,0.35866785430678394
342,0.2908251823847017
343,0.24378437920849996
344,0.25116086942804855
345,0.3963914577697836
346,0.690443262615393
347,0.29159509179010545
348,0.5236036444501694
349,0.23884801814690573
350,0.28969185448311635
351,0.6053323259239523
352,0.7627861660821413
353,0.6424601109459205
354,0.3828036817591055
355,0.4549461514076449
356,0.25581694354936496
357,0.4321061141353446
358,0.18084479264206482
359,0.5067795449777005
360,0.2712673086264391
361,0.3150024249608731
362,0.3373860753720513
363,0.5292156470768863
364,0.2865663447788881
365,0.47418048955419323
366,0.30210231319115355
367,0.3366672807795262
368,0.6308862918871394
369,0.3723754296310211
370,0.4990124998536011
371,0.528083913438242
372,0.4277654028968392
373,0.39007801777410295
374,0.31830264121951085
375,0.44505958898702574
376,0.18146322167403225
377,0.4485575301759601
378,0.23999797679596732
379,0.2743110306259958
380,0.3093312616314614
381,0.2790653244527175
382,0.27076770975883796
383,0.5264222557943486
384,0.4562551567870002
385,0.3957454830130624
386,0.26656755819770517
387,0.2662744707568718
388,0.5253178696524275
389,0.2831890365436303
390,0.26607298661079914
391,0.31029930050172544
