,0
0,12.002643754130867
1,87.99735624586913
2,72.49173826834105
3,57.23727693324521
4,44.81163251817581
5,36.087243886318575
6,29.107732980832786
7,22.868473231989427
8,17.71315267680106
9,12.068737607402511
10,2.273628552544613
11,0.03965631196298744
