,0
0,3.463496103069827
1,96.53650389693017
2,83.03642436774297
3,48.90249721647845
4,33.52950532845554
5,25.799268331477656
6,18.689358994751075
7,13.094480674407507
8,8.756163512008907
9,4.803562907587084
10,1.3877843168442818
11,0.03976459360585335
