kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.5,0.9856733524355301,0.795816733067729,1.0,0.47058823529411764,0.6361878533346789,0.21514423076923073,0.7068462401795735,0.7058823529411765,0.0,0.08357369006918203,0.995398773006135,0.990543978302268,0.0,0.9954058192955589
0.5,0.9856733524355301,0.795816733067729,1.0,0.47058823529411764,0.6361878555299825,0.21514423076923073,0.7068462401795735,0.7058823529411765,0.5,0.09061154064729027,0.995398773006135,0.9913516918182467,0.0,0.9954058192955589
0.6,0.9742120343839542,0.795816733067729,1.0,0.4117647058823529,0.5691396971225213,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.3333333333333333,0.43338606193225937,0.9969325153374233,0.9746615605326134,0.001201923076923077,0.998468606431853
0.7,0.994269340974212,0.795816733067729,1.0,0.6470588235294118,0.6361878580549332,0.21514423076923073,0.7068462401795735,0.8235294117647058,1.0,0.5426874625198737,1.0,0.9919737308627743,0.002403846153846154,1.0
0.9,0.997134670487106,0.795816733067729,1.0,0.7058823529411765,0.6361878580570082,0.21514423076923073,0.7068462401795735,0.8823529411764706,0.8,0.5848718230522627,1.0,0.9900950123473176,0.006009615384615385,0.998468606431853
0.0,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.6361878579105181,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.3131074265469693,0.9846625766871165,0.9843651028114271,0.0,0.9877488514548239
0.1,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.6361878571390327,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.0,0.9923312883435583,0.9857467194385579,0.0,0.9923430321592649
0.2,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.636187857259731,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.0,0.99079754601227,0.9859409020714044,0.0,0.9908116385911179
0.1,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.6361878572813593,0.21514423076923073,0.7068462401795735,0.6470588235294118,0.0,0.3886299120039668,0.99079754601227,0.9826155968164356,0.0,0.9938744257274119
0.2,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.6361878579185829,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.6666666666666666,0.3055311552861264,0.9938650306748467,0.9856879197164572,0.002403846153846154,0.9938744257274119
0.1,0.9426934097421203,0.795816733067729,1.0,0.35294117647058826,0.6361878571390327,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.0,0.9923312883435583,0.9857467194385579,0.0,0.9923430321592649
0.6,0.9914040114613181,0.795816733067729,1.0,0.8823529411764706,0.6361878579775715,0.21514423076923073,0.7068462401795735,0.8823529411764706,0.6666666666666666,0.5764229221100582,1.0,0.9937567882510044,0.001201923076923077,0.998468606431853
0.6,1.0,0.795816733067729,1.0,0.7058823529411765,0.6361877746963595,0.21514423076923073,0.7068462401795735,0.7058823529411765,0.0,0.21373505416359817,0.9938650306748467,0.9856713426897041,0.0,0.9954058192955589
0.1,0.8997134670487106,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.4131107509622548,0.9861963190184049,0.8899516115697421,0.0,0.9326186830015314
0.5,0.9656160458452722,0.795816733067729,1.0,0.6470588235294118,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.6470588235294118,1.0,0.5662276030936173,1.0,0.948917368703024,0.001201923076923077,0.9800918836140888
0.2,0.0,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.7647058823529411,0.0,0.48422970429552015,0.9923312883435583,0.8364484541771204,0.0,0.9954058192955589
0.4,0.9656160458452722,0.795816733067729,1.0,0.6470588235294118,0.636187851434536,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.5,0.577413694198414,1.0,0.989718566341117,0.002403846153846154,0.998468606431853
0.5,0.8997134670487106,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.8235294117647058,1.0,0.5111434963828201,1.0,0.9394280776501456,0.001201923076923077,0.9678407350689127
0.2,0.8997134670487106,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.8235294117647058,0.0,0.43728575314617657,0.995398773006135,0.8709731002430052,0.0,0.9647779479326187
0.9,0.8997134670487106,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.8823529411764706,1.0,0.6069399945307826,1.0,0.9621110927676071,0.001201923076923077,0.9770290964777948
0.9,0.9856733524355301,0.795816733067729,1.0,0.47058823529411764,0.6337318379777763,0.21514423076923073,0.7068462401795735,0.7647058823529411,1.0,0.5721283203723586,1.0,0.9803252097477704,0.006009615384615385,1.0
0.1,0.8997134670487106,0.06860706860706856,1.0,0.29411764705882354,0.2536219423502437,0.21514423076923073,0.7068462401795735,0.8823529411764706,0.0,0.48199379672409837,0.9984662576687117,0.9173474588715277,0.0,0.9571209800918836
0.8,0.9856733524355301,0.795816733067729,1.0,0.47058823529411764,0.6361878048246263,0.21514423076923073,0.7068462401795735,1.0,1.0,0.59051810795319,1.0,0.9838410087613847,0.002403846153846154,1.0
