,imbalanced_dataset_hardness
F1,0.7242647058823529
F1v,0.051737451737451735
F3,-0.04260248416055245
F4,-0.057926241666811304
L1,-0.22193615565668545
L2,0.011198352519076775
L3,-0.07284896083043108
N1,-0.20664350711007298
N2,0.44544579069334717
T1,-0.2354228362918554
Lsc,-0.177883748828956
Density,-0.2113256113256113
ClsCoef,-0.07646263900019092
T2,0.026386922602422282
T3,-0.058446324976173754
T4,-0.15316301260652118
C1,0.5027350547767911
BI3,0.4458172458172458
