,kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0,0.3246913580246914,0.5660493827160494,0.23566658798140278,0.5703703703703704,0.6481481481481481,0.38666155005466923,0.13475783475783476,0.6528349336991314,0.4171220400728598,0.29913399357843806,0.3577940052546557,0.9236518788977982,0.9583597066127209,0.006707303606528399,0.9219222303201631
0,0.1941825476429288,0.5942980456521079,0.22094663526301236,0.6163490471414242,0.6870611835506519,0.2544545922691977,0.15280988350639782,0.5519041242751992,0.5531019287370308,0.19348521755743422,0.35588523165607056,0.9805648808110036,0.9901491688909311,0.004112573381036893,0.9762351997753106
0,0.14037626628075253,0.4084240993221113,0.11579381981046584,0.976362759286059,0.6378195851423059,0.1489984537067103,0.0831654191392176,0.445388053835301,0.44511399492301496,0.11987457790641584,0.351923527079218,0.9609328724145885,0.9794671237520525,0.014325540325949722,0.9485250310439302
0,0.18904403866809882,0.6888980992854806,0.18480562685315632,0.7708557107053348,0.4683995703544576,0.21070185795511553,0.11164274322169059,0.48568790397045225,0.4433448961983412,0.17385555726049817,0.38126970430929324,0.9900695027154457,0.9935139463956064,0.0036259479868502326,0.9852138296974878
0,0.19465597862391448,0.6501052419304016,0.1925558001971191,0.5414161656646627,0.583474641590874,0.2159811109799097,0.11695803615512601,0.49349452263095167,0.5188847640636464,0.17939370805102267,0.40092330556679134,0.9911419900147354,0.9867288480920892,0.004225081166721877,0.9859626630399297
0,0.21651376146788995,0.526786725563484,0.22388687820890488,,0.7333333333333334,0.21100633760706572,0.10951231289232255,0.48259125213926984,0.7918836267460121,0.19745158002038735,0.29997151660741206,0.9708059275320754,0.9930368667933923,0.021202087788278024,0.966731814245093
0,0.30386010362694305,0.8349316728782232,0.3014598605108189,1.0,0.4344203367875648,0.31881776141770357,0.15370040480334973,0.5536098508237355,0.8618060695780904,0.27263647298297555,0.413836664514106,0.9992355507917848,0.9997020276643959,0.0005249997488812872,0.9990965683119954
0,0.33235800344234084,0.7103137826029392,0.29561617586017314,0.6572002294893861,0.4827524383247274,0.354283903517971,0.16731441896618734,0.58532926888276,0.7995656093762806,0.28504016064257026,0.38635780485545296,0.9924969888783479,0.9985875283378876,0.002832263881067363,0.9937840801747381
0,0.29896907216494845,0.4818556701030928,0.19834224258622882,1.0,0.5804123711340206,0.28605212803133595,0.1432859193527339,0.5348425266588728,0.7295796986518637,0.2520618556701031,0.37889202507007913,0.9725214112173204,0.99140434745165,0.023797613351312932,0.9519879072599938
0,0.031762295081967214,0.3567908391243675,0.03620498521902709,,0.6604337431693988,0.0349986269534289,0.018096101851534957,0.35746999014601805,0.6482285375323555,0.025418374316939888,0.08080663702885992,0.9516964400364434,0.9985939343678956,0.027275108281901803,0.9255199777256807
0,0.40967741935483876,0.5557184750733137,0.0,0.45747800586510257,0.45747800586510257,0.40442402159590646,0.15967741935483867,0.6385709330558447,0.7590984284532672,0.3416666666666666,0.44805222274573026,0.9715356054203423,0.9773631390431564,0.019098240469208203,0.9627291055718475
