,kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0,0.25025641025641027,0.4461538461538462,0.19578455001531925,0.48820512820512824,0.6368298368298368,0.31949805612402427,0.0,0.5987654320987656,0.3403110550651534,0.21753545599699445,0.29294101077350065,0.8832408141686491,0.976467904417226,0.0033925049309664564,0.8803681788297173
0,0.11403286978508217,0.5061180707198406,0.1392438655861083,0.5606826801517067,0.7205278128950695,0.15857104271597844,0.0,0.47107990638582403,0.5261238109054734,0.11987538378183134,0.3215520228448007,0.9775816543711695,0.9914758501610841,0.00032924125872448647,0.9724763897257548
0,0.06794258373205742,0.35077646268782003,0.06380664233575109,0.995746943115364,0.6559276980329611,0.08176888098251539,0.0,0.39507959479015914,0.43229534342562814,0.059276980329611914,0.3319210134466641,0.9572995806390796,0.9799754807878657,0.0001627964357755311,0.9441430166688289
0,0.10711193568336425,0.64397804576376,0.10640323970333246,0.7629354772211916,0.48403215831787266,0.12016827790637738,0.0,0.42105263157894723,0.431896752739844,0.09610536855434815,0.359712943973914,0.988828474684203,0.9962315936154119,9.370139240268468e-05,0.983326888972264
0,0.10310559006211181,0.5964454177897575,0.1119006338878444,0.5277562111801242,0.6146082178690874,0.12461911789996577,0.0,0.4264083723001559,0.5052438651868445,0.09689625850340135,0.37575964371596826,0.9900069737026258,0.9873357797623534,0.00012598375834265086,0.9840934956213109
0,0.12491228070175436,0.4601169590643275,0.128440366972477,,0.7498245614035087,0.11899937936923001,0.0,0.41896024464831794,0.7790422000948318,0.10818713450292397,0.24863187432945863,0.9674450210032122,0.9943103260414217,0.000517082179132033,0.9628316405047707
0,0.1913228552717747,0.7992087838018972,0.19050999698293408,1.0,0.44760969220694163,0.2012825980137865,0.0,0.4725388601036267,0.8535722081891041,0.16986758193781767,0.3703310501176469,0.9991029060557152,0.9999314809422736,4.320828020751794e-05,0.9989697559193199
0,0.21682027649769584,0.6370081531371854,0.19787211771285781,0.642089093701997,0.49798387096774194,0.23690259183708753,0.0,0.5020080321285141,0.7836295808646039,0.17553763440860212,0.32648847892045674,0.9905375812564113,0.9991759275528409,0.00039021852237250653,0.9926269935653763
0,0.18354430379746836,0.38000000000000006,0.12176707298015314,1.0,0.6232067510548523,0.17407074075077683,0.0,0.45704467353951905,0.71502758844531,0.14177215189873416,0.29815286043844214,0.9669837942433283,0.9925871481785592,0.0014420765902900103,0.9431581477327351
0,0.014822546972860126,0.34472792809611597,0.018442622950819602,,0.6626652748782185,0.01719699954862887,0.0,0.3456284153005464,0.6468107900230743,0.011717118997912317,0.06840832564973788,0.9508634175855923,0.9988817199441478,9.806442614876095e-06,0.9242945354143332
0,0.32999999999999996,0.4712121212121212,0.0,0.4431818181818182,0.4431818181818182,0.313998747693228,0.0,0.5698924731182797,0.7400641025641026,0.26104166666666667,0.38882220176027354,0.9686708860759493,0.9945573786787115,0.006875000000000001,0.95671875
0,0.09688888888888889,0.34875816993464054,0.09999999999999987,,0.6422222222222222,0.08833731745579722,0.0,0.4,0.68996996996997,0.10022222222222223,0.23344672623589588,0.9310119047619048,0.9913294591887714,0.0004938271604938227,0.9336296296296296
0,0.07467948717948719,0.38366104868913853,0.0810014727540501,,0.40659340659340654,0.07281787395356386,0.0,0.3873343151693667,0.6641112266112267,0.05106837606837607,0.20121087376994798,0.9432646005679715,0.9987357460239361,0.00014125164365548956,0.9294358152531229
0,0.020963172804532578,0.2542268087593867,0.022160664819944602,,0.4600566572237961,0.02087242944963377,0.0,0.3481071098799631,0.5742445703493861,0.020420207743153916,0.09720649607968505,0.7946155546179657,0.9956196965511512,3.210041008273768e-05,0.8485382275758573
0,0.10704225352112677,0.5249919475271588,0.10711106624479051,1.0,0.413294245108661,0.12989658580925653,0.0,0.41563786008230436,0.7543849374835292,0.08485012639942217,0.26191596175177545,0.978191693125548,0.9978160794804106,0.0001525948758640596,0.9527941882480817
0,0.12669104204753198,0.40833221860554986,0.0851302142215981,0.48080438756855576,0.3111415803371928,0.12461872042711503,0.0,0.4257217847769028,0.7274074806067493,0.088345521023766,0.3051575915393581,0.9919564588347655,0.9974269011873607,0.00014705440010159715,0.9641379437115862
0,0.22993527508090614,0.7019746913939112,0.22483191142664338,1.0,0.596531148867314,0.2574034175287376,0.0,0.51357733175915,0.7480412195537387,0.18140699645554015,0.3328056513118688,0.9918274962986257,0.9995529190744501,0.0002997978655439194,0.9917149747070098
0,0.15544041450777202,0.5501625520674591,0.16479783654425534,1.0,0.6838144584258574,0.17563596173215895,0.0,0.4818791946308725,0.690846286701209,0.1330166954519286,0.355844744064601,0.9779897329245625,0.9889270875862082,0.0004951661640431751,0.9795371091244807
0,0.11207729468599033,0.44941538892389554,0.11538461538461539,,0.5947396672034353,0.11306657405325746,0.0,0.41025641025641024,0.4635265700483092,0.13623188405797101,0.30150763698480204,0.956427934899864,0.9800639153780751,0.0006301197227473183,0.9526943452589326
0,0.1871299871299871,0.5981371651474745,0.19481865284974093,,0.5085085085085086,0.18279904541642247,0.0,0.46321243523316047,0.6416988416988417,0.14858429858429856,0.3594957006650435,0.9888664437633511,0.9965548163530522,0.00031139799479566326,0.9897917774365651
0,0.09551282051282052,0.45561712299000434,0.11363636363636359,,0.5865384615384616,0.10508381707227414,0.0,0.4090909090909091,0.5729166666666666,0.08060897435897435,0.2972866411862568,0.9391334817379832,0.9940459265471472,0.0004109138724523333,0.944464990138067
0,0.02702702702702703,0.2358822947058241,0.0223577235772357,,0.7258687258687258,0.024540169233756036,0.0,0.3482384823848238,0.5644490644490644,0.012028512028512026,0.1951071341797486,0.8211278586278585,0.9932421058475189,4.754474608944345e-05,0.8825731216583607
0,0.8625,0.9727011494252873,0.9219512195121952,,0.7142857142857143,0.8917316563018282,0.9153439153439152,0.9479674796747968,0.49375,0.875,0.5954044919605508,0.9916666666666667,0.95407623822851,0.73828125,0.9765625
0,0.48905109489051096,0.8192700729927007,0.24437100277652143,0.45766423357664227,0.6496350364963503,0.5267446690835719,0.3251231527093596,0.731372549019608,0.6788321167883211,0.3800486618004866,0.479850397939186,0.9881923572348646,0.9871122487295719,0.010815706750492832,0.9865203260695828
0,0.3763975155279503,0.8797378588545997,0.38661463822775977,0.906832298136646,0.5869565217391305,0.5882462056669917,0.42704626334519563,0.7571644042232277,0.6409937888198758,0.34665779355220344,0.3676535816943613,0.9748835403726709,0.991370301471556,0.010840631148489639,0.9790131553566606
0,0.09090909090909091,0.46827651515151514,0.09999999999999988,,0.6429773929773928,0.10790696688346155,0.0,0.3999999999999999,0.5980439313772647,0.07549302549302549,0.17831589951729926,0.9686124880054052,0.9706689029266439,0.00018705574261129008,0.9699180355746011
0,0.12483221476510066,0.4284299702937617,0.10285501225098534,1.0,0.5946308724832216,0.15745270485460908,0.0,0.4356060606060606,0.48098434004474266,0.09630872483221477,0.2893203704118251,0.9449029566479229,0.9765042398167909,0.0012161614341696268,0.9315796585739381
0,0.2247058823529412,0.45365853658536587,0.2644023219706435,1.0,0.5579185520361991,0.2760039334298196,0.0,0.5572916666666667,0.606764705882353,0.19598039215686272,0.3686935527099995,0.9633832231117299,0.9712606126727451,0.002975778546712787,0.9680968858131489
0,0.0737516005121639,0.5109416831567919,0.07080375185170147,0.5691421254801536,0.6123102249862813,0.08045428513207949,0.0,0.39316239316239304,0.5782970550576184,0.06868331199317115,0.2670232533381768,0.9608588594504087,0.9902996696955418,0.00012623757912390692,0.9609106155967349
0,0.2503311258278145,0.5308850090307043,0.1727407833596461,0.4331125827814571,0.6453274466519499,0.31216138891390377,0.0,0.5604075691411934,0.6350993377483444,0.23576158940397346,0.3459406244588985,0.9613245033112584,0.965927780899483,0.0034209025919915543,0.9660979781588527
0,0.6000000000000001,0.9935064935064936,0.35155850666154287,0.8484848484848484,0.8363636363636364,0.9271617801128357,0.9877505567928732,0.9919325265859917,0.4181818181818182,0.5855614973262032,0.4274955608716965,0.7999999999999999,0.9806600924218276,7.421487603305787,0.7520661157024793
0,0.3655629139072848,0.8838579805700617,0.21040204364847856,0.42163355408388525,0.5945548197203826,0.6085498337792629,0.6544622425629291,0.828798185941043,0.4158940397350993,0.4154998423210344,0.2686075533017337,0.9613245033112584,0.9853905122672432,0.019165826060260474,0.96750142537608
0,0.40416666666666673,0.5117753623188406,0.3115213401108325,0.6944444444444443,0.4943181818181818,0.5040680323747638,0.020408163265306097,0.6701030927835053,0.8665865384615384,0.3993055555555556,0.42963140916372694,0.9692982456140351,0.9999999740546351,0.010633680555555532,0.9752604166666666
