,dataset_hardness
F1,0.7242647058823529
F1v,0.051737451737451735
F3,-0.04260248416055245
L1,-0.03951348228788399
L2,-0.2173017579747593
L3,0.07027027027027027
N1,-0.20664350711007298
N2,0.44544579069334717
T1,-0.2354228362918554
Density,-0.2113256113256113
T2,0.026386922602422282
C1,0.5027350547767911
IB3,0.4458172458172458
